fid,NOM_MUN,COD_MUN4,POB_TOTAL,urbano_si,urbano_no,rural_si,rural_no,total_si,total_no,total_contestaron
220,DELGADO,0619,120200,72800,34774,4038,3499,2448,2342,4790
79,CANDELARIA,0701,10090,1543,2019,3087,3382,5075,4344,9419
76,COJUTEPEQUE,0702,50315,25711,13671,4430,4673,5834,5333,11167
77,EL CARMEN,0703,13345,1192,853,4378,6807,11987,7943,19930
74,EL ROSARIO,0704,4220,213,207,1902,1849,1604,1252,2856
73,MONTE SAN JUAN,0705,10224,971,606,3475,5067,2280,1928,4208
69,ORATORIO DE CONCEPCION,0706,3578,371,481,1434,1274,2091,1980,4071
70,SAN BARTOLOME PERULAPIA,0707,8058,2963,1648,1829,1431,4959,2538,7497
78,SAN CRISTOBAL,0708,8316,436,429,2298,5032,7188,2563,9751
68,SAN JOSE GUAYABAL,0709,9300,1729,1131,3431,2967,9515,5389,14904
71,SAN PEDRO PERULAPAN,0710,44730,8401,6024,12265,16387,12464,4717,17181
75,SAN RAFAEL CEDROS,0711,17069,3453,1661,7010,4489,11118,4881,15999
80,SAN RAMON,0712,6292,641,613,2123,2887,20784,6254,27038
81,SANTA CRUZ ANALQUITO,0713,2585,811,983,307,471,4499,1781,6280
72,SANTA CRUZ MICHAPA,0714,11790,4113,2486,2290,2757,10359,3595,13954
66,SUCHITOTO,0715,24786,4920,2664,10150,6896,26725,9779,36504
67,TENANCINGO,0716,6782,434,478,2669,3078,5652,1747,7399
88,CUYULTITAN,0801,5590,2234,1116,1467,728,6772,2679,9451
85,EL ROSARIO,0802,16784,6070,3101,4159,3103,8432,4418,12850
102,JERUSALEN,0803,2570,284,158,1155,955,6864,2471,9335
103,MERCEDES LA CEIBA,0804,637,291,190,71,81,5913,2048,7961
83,OLOCUILTA,0805,29529,11045,4365,8342,4851,3570,2695,6265
99,PARAISO DE OSORIO,0806,2727,664,1084,323,639,3054,1040,4094
86,SAN ANTONIO MASAHUAT,0807,4258,519,574,1392,1754,2013,884,2897
100,SAN EMIGDIO,0808,2818,713,654,679,741,4871,1867,6738
89,SAN FRANCISCO CHINAMECA,0809,7387,1131,1468,2316,2330,8456,3566,12022
93,SAN JUAN NONUALCO,0810,17256,4806,2661,4607,4965,24238,8995,33233
84,SAN JUAN TALPA,0811,7707,2401,2094,1906,1241,1027,1306,2333
90,SAN JUAN TEPEZONTES,0812,3630,691,612,1141,1113,29567,17530,47097
82,SAN LUIS TALPA,0813,21675,7670,5227,5296,3030,11797,5378,17175
101,SAN MIGUEL TEPEZONTES,0814,5084,1132,1429,829,1673,2920,2427,5347
92,SAN PEDRO MASAHUAT,0815,25446,7448,5313,7029,5146,4549,3087,7636
97,SAN PEDRO NONUALCO,0816,9252,1294,1774,2684,3378,1646,953,2599
95,SAN RAFAEL OBRAJUELO,0817,9820,2934,2083,2702,1960,8078,4291,12369
98,SANTA MARIA OSTUMA,0818,5990,710,825,1556,2858,7498,3065,10563
91,SANTIAGO NONUALCO,0819,39887,6657,5219,13976,13485,4404,1669,6073
87,TAPALHUACA,0820,3809,393,338,1617,1440,50457,20603,71060
94,ZACATECOLUCA,0821,65826,25780,15226,11627,11642,8631,3461,12092
96,SAN LUIS LA HERRADURA,0822,20405,4544,4056,6026,5361,3633,1309,4942
108,CINQUERA,0901,1467,123,323,466,540,11467,5008,16475
111,GUACOTECTI,0902,5550,1837,499,2278,783,9827,3470,13297
104,ILOBASCO,0903,61510,15445,7457,22143,14214,6933,3207,10140
106,JUTIAPA,0904,6584,205,422,2852,3030,3039,925,3964
105,SAN ISIDRO,0905,7796,1124,399,4849,1267,4116,2154,6270
109,SENSUNTEPEQUE,0906,40332,11283,3520,16826,7444,4269,1622,5891
107,TEJUTEPEQUE,0907,7114,1676,1043,2524,1774,3968,1601,5569
