,DMC,MUNICIPIO.4.DIGITOS,COD_MUN4,URBANO,RURAL
230,JOCOAITIQUE,1311,1311,825,2052
231,JOCORO,1312,1312,3054,7006
232,LOLOTIQUILLO,1313,1313,1024,3891
233,MEANGUERA,1314,1314,1535,6283
234,OSCICALA,1315,1315,1989,6920
235,PERQUIN,1316,1316,181,2977
236,SAN CARLOS,1317,1317,997,3175
237,SAN FERNANDO,1318,1318,218,1490
238,SAN FRANCISCO GOTERA,1319,1319,15307,5742
239,SAN SIMON,1321,1321,1550,8552
240,SENSEMBRA,1322,1322,795,2145
241,SOCIEDAD,1323,1323,1068,10338
242,TOROLA,1324,1324,219,2823
243,YAMABAL,1325,1325,546,3800
244,YOLOAIQUIN,1326,1326,638,2975
245,ANAMOROS,1401,1401,1790,12761
246,BOLIVAR,1402,1402,509,3706
247,CONCEPCION DE ORIENTE,1403,1403,1016,7163
248,CONCHAGUA,1404,1404,17025,20337
249,EL CARMEN,1405,1405,1787,10537
250,EL SAUCE,1406,1406,895,5651
251,INTIPUCA,1407,1407,2879,4688
252,LA UNION,1408,1408,18046,15999
253,LISLIQUE,1409,1409,639,12746
254,MEANGUERA DEL GOLFO,1410,1410,452,1946
255,NUEVA ESPARTA,1411,1411,1347,8290
256,PASAQUINA,1412,1412,3553,12822
257,POLOROS,1413,1413,1016,8685
258,SAN ALEJO,1414,1414,2972,14626
259,SAN JOSE,1415,1415,815,2156
260,SANTA ROSA DE LIMA,1416,1416,13640,14053
261,YAYANTIQUE,1417,1417,2901,3970
262,YUCUAIQUIN,1418,1418,1179,5620
