,DMC,MUNICIPIO.4.DIGITOS,COD_MUN4,AREA,NA,NR,SI,NO
162,JICALAPA,508,0508,RURAL,NA,24,18,4654
163,LA LIBERTAD,509,0509,URBANO,20,447,959,21677
164,LA LIBERTAD,509,0509,RURAL,41,78,237,12538
165,NUEVO CUSCATLAN,510,0510,URBANO,NA,42,404,3629
166,NUEVO CUSCATLAN,510,0510,RURAL,NA,34,447,2341
167,SANTA TECLA,511,0511,URBANO,752,4267,52239,51582
168,SANTA TECLA,511,0511,RURAL,7,862,1283,10916
169,QUEZALTEPEQUE,512,0512,URBANO,129,1280,4386,30367
170,QUEZALTEPEQUE,512,0512,RURAL,NA,517,218,15746
171,SACACOYO,513,0513,URBANO,NA,234,529,9109
172,SACACOYO,513,0513,RURAL,NA,25,37,2365
173,SAN JOSE VILLANUEVA,514,0514,URBANO,4,173,692,9868
174,SAN JOSE VILLANUEVA,514,0514,RURAL,NA,57,219,2563
175,SAN JUAN OPICO,515,0515,URBANO,10,1793,4488,38695
176,SAN JUAN OPICO,515,0515,RURAL,132,790,1191,27181
177,SAN MATIAS,516,0516,URBANO,NA,10,83,1074
178,SAN MATIAS,516,0516,RURAL,NA,108,95,5944
179,SAN PABLO TACACHICO,517,0517,URBANO,NA,269,412,4938
180,SAN PABLO TACACHICO,517,0517,RURAL,11,632,262,13842
181,TAMANIQUE,518,0518,URBANO,107,31,139,3680
182,TAMANIQUE,518,0518,RURAL,NA,84,162,9341
183,TALNIQUE,519,0519,URBANO,2,60,188,4639
184,TALNIQUE,519,0519,RURAL,NA,61,63,3241
185,TEOTEPEQUE,520,0520,URBANO,NA,9,49,1225
186,TEOTEPEQUE,520,0520,RURAL,NA,109,122,10806
187,TEPECOYO,521,0521,URBANO,2,72,427,7792
188,TEPECOYO,521,0521,RURAL,NA,93,33,5903
189,ZARAGOZA,522,0522,URBANO,7,151,2485,15392
190,ZARAGOZA,522,0522,RURAL,NA,17,165,4308
191,AGUILARES,601,0601,URBANO,25,707,1476,16926
192,AGUILARES,601,0601,RURAL,NA,101,109,1923
193,APOPA,602,0602,URBANO,26,5531,13381,112348
194,AYUTUXTEPEQUE,603,0603,URBANO,2020,523,7937,24230
195,CUSCATANCINGO,604,0604,URBANO,2,2503,8464,55431
196,EL PAISNAL,605,0605,URBANO,1,152,279,6291
197,EL PAISNAL,605,0605,RURAL,NA,99,168,7561
198,GUAZAPA,606,0606,URBANO,NA,63,1109,13055
199,GUAZAPA,606,0606,RURAL,NA,86,188,8405
200,ILOPANGO,607,0607,URBANO,23,1784,18357,83698
201,MEJICANOS,608,0608,URBANO,29,4690,42862,93170
202,NEJAPA,609,0609,URBANO,26,311,1496,14697
203,NEJAPA,609,0609,RURAL,NA,183,110,12635
204,PANCHIMALCO,610,0610,URBANO,110,772,1581,13701
205,PANCHIMALCO,610,0610,RURAL,NA,755,360,23981
206,ROSARIO DE MORA,611,0611,URBANO,NA,85,268,4700
207,ROSARIO DE MORA,611,0611,RURAL,NA,53,67,6204
208,SAN MARCOS,612,0612,URBANO,183,2998,12794,47234
209,SAN MARTIN,613,0613,URBANO,118,2170,6181,57535
210,SAN MARTIN,613,0613,RURAL,NA,309,166,6279
211,SAN SALVADOR,614,0614,URBANO,1088,9341,114416,191245
212,SANTIAGO TEXACUANGOS,615,0615,URBANO,74,227,1218,10863
213,SANTIAGO TEXACUANGOS,615,0615,RURAL,NA,162,316,6568
214,SANTO TOMAS,616,0616,URBANO,10,417,2090,16235
215,SANTO TOMAS,616,0616,RURAL,NA,136,157,6299
216,SOYAPANGO,617,0617,URBANO,74,5395,50892,185042
217,TONACATEPEQUE,618,0618,URBANO,165,1460,7133,69400
218,TONACATEPEQUE,618,0618,RURAL,NA,256,379,12103
219,CIUDAD DELGADO,619,0619,URBANO,146,4286,14589,93140
220,CIUDAD DELGADO,619,0619,RURAL,NA,439,219,7381
221,CANDELARIA,701,0701,URBANO,NA,46,94,3458
222,CANDELARIA,701,0701,RURAL,7,22,71,6392
223,COJUTEPEQUE,702,0702,URBANO,683,1030,5051,34308
224,COJUTEPEQUE,702,0702,RURAL,NA,95,55,9093
225,EL ROSARIO,704,0704,URBANO,NA,9,11,405
226,EL ROSARIO,704,0704,RURAL,NA,16,17,3762
227,EL CARMEN,703,0703,URBANO,NA,22,87,1966
228,EL CARMEN,703,0703,RURAL,NA,86,74,11110
229,MONTE SAN JUAN,705,0705,URBANO,NA,19,73,1514
230,MONTE SAN JUAN,705,0705,RURAL,NA,59,99,8460
231,ORATORIO DE CONCEPCION,706,0706,URBANO,NA,NA,44,815
232,ORATORIO DE CONCEPCION,706,0706,RURAL,NA,10,17,2692
233,SAN BARTOLOME PERULAPIA,707,0707,URBANO,NA,72,486,4124
234,SAN BARTOLOME PERULAPIA,707,0707,RURAL,NA,108,64,3204
235,SAN CRISTOBAL,708,0708,URBANO,NA,NA,18,847
236,SAN CRISTOBAL,708,0708,RURAL,NA,109,65,7277
237,SAN JOSE GUAYABAL,709,0709,URBANO,NA,14,243,2614
238,SAN JOSE GUAYABAL,709,0709,RURAL,NA,28,75,6326
239,SAN PEDRO PERULAPAN,710,0710,URBANO,NA,514,602,13872
240,SAN PEDRO PERULAPAN,710,0710,RURAL,NA,960,397,28385
241,SAN RAFAEL CEDROS,711,0711,URBANO,NA,243,586,4527
242,SAN RAFAEL CEDROS,711,0711,RURAL,NA,169,325,11219
243,SAN RAMON,712,0712,URBANO,NA,7,46,1208
244,SAN RAMON,712,0712,RURAL,NA,33,66,4932
245,SANTA CRUZ ANALQUITO,713,0713,URBANO,NA,4,54,1749
246,SANTA CRUZ ANALQUITO,713,0713,RURAL,NA,NA,2,776
247,SANTA CRUZ MICHAPA,714,0714,URBANO,NA,75,318,6266
248,SANTA CRUZ MICHAPA,714,0714,RURAL,NA,19,72,5040
249,SUCHITOTO,715,0715,URBANO,NA,49,500,7105
250,SUCHITOTO,715,0715,RURAL,NA,29,142,16961
251,TENANCINGO,716,0716,URBANO,NA,NA,47,867
252,TENANCINGO,716,0716,RURAL,NA,89,113,5666
253,CUYULTITAN,801,0801,URBANO,1,19,323,3022
254,CUYULTITAN,801,0801,RURAL,17,10,91,2107
255,EL ROSARIO,802,0802,URBANO,2,185,475,8712
256,EL ROSARIO,802,0802,RURAL,13,152,97,7148
257,JERUSALEN,803,0803,URBANO,NA,3,29,416
258,JERUSALEN,803,0803,RURAL,NA,9,28,2085
259,MERCEDES LA CEIBA,804,0804,URBANO,NA,11,16,458
260,MERCEDES LA CEIBA,804,0804,RURAL,NA,NA,NA,152
261,OLOCUILTA,805,0805,URBANO,8,575,1491,13843
262,OLOCUILTA,805,0805,RURAL,48,292,354,12918
263,PARAISO DE OSORIO,806,0806,URBANO,NA,9,31,1711
264,PARAISO DE OSORIO,806,0806,RURAL,NA,NA,NA,976
265,SAN ANTONIO MASAHUAT,807,0807,URBANO,NA,8,60,1033
266,SAN ANTONIO MASAHUAT,807,0807,RURAL,NA,21,46,3090
267,SAN EMIGDIO,808,0808,URBANO,NA,6,39,1328
268,SAN EMIGDIO,808,0808,RURAL,NA,31,7,1407
269,SAN FRANCISCO CHINAMECA,809,0809,URBANO,NA,32,106,2521
270,SAN FRANCISCO CHINAMECA,809,0809,RURAL,NA,80,53,4595
271,SAN JUAN NONUALCO,810,0810,URBANO,9,81,612,6898
272,SAN JUAN NONUALCO,810,0810,RURAL,NA,76,89,9491
273,SAN JUAN TALPA,811,0811,URBANO,NA,32,210,4294
274,SAN JUAN TALPA,811,0811,RURAL,NA,33,79,3059
275,SAN JUAN TEPEZONTES,812,0812,URBANO,NA,18,55,1247
276,SAN JUAN TEPEZONTES,812,0812,RURAL,3,10,9,2288
277,SAN LUIS TALPA,813,0813,URBANO,NA,282,401,12535
278,SAN LUIS TALPA,813,0813,RURAL,NA,86,167,8204
279,SAN MIGUEL TEPEZONTES,814,0814,URBANO,NA,7,90,2470
280,SAN MIGUEL TEPEZONTES,814,0814,RURAL,1,15,15,2486
281,SAN PEDRO MASAHUAT,815,0815,URBANO,24,310,416,12366
282,SAN PEDRO MASAHUAT,815,0815,RURAL,NA,256,215,11859
283,SAN PEDRO NONUALCO,816,0816,URBANO,23,29,173,2894
284,SAN PEDRO NONUALCO,816,0816,RURAL,1,65,28,6039
285,SAN RAFAEL OBRAJUELO,817,0817,URBANO,34,41,419,4618
