fid,NOM_MUN,COD,COD_MUN4,POB_TOTAL,urbano_na,urbano_nr,urbano_si,urbano_no,rural_na,rura_nr,rural_si,rural_no,urbano_na,urbano_nr,rural_na,rural_nr,total_urbano,total_rural,total,porcentaje_SI,porcentaje_NO,SI_Urbano,SI_Rural
32,CANDELARIA DE LA FRONTERA,201,0201,22686,NA,100,72,7976,NA,362,64,14112,0,100,0,362,8148,14538,22686,0.61,99.39,0.89,0.45
34,COATEPEQUE,202,0202,36768,2,449,81,12808,23,630,40,22735,2,449,23,630,13340,23428,36768,0.34,99.66,0.63,0.18
37,CHALCHUAPA,203,0203,74038,19,1157,1031,45488,7,468,16,25852,19,1157,7,468,47695,26343,74038,1.45,98.55,2.22,0.06
38,EL CONGO,204,0204,24219,NA,165,216,14213,NA,94,20,9511,0,165,0,94,14594,9625,24219,0.98,99.02,1.5,0.21
35,EL PORVENIR,205,0205,8232,NA,12,3,906,NA,136,3,7172,0,12,0,136,921,7311,8232,0.07,99.93,0.33,0.04
30,MASAHUAT,206,0206,3393,NA,NA,14,484,NA,31,9,2855,0,0,0,31,498,2895,3393,0.68,99.32,2.81,0.31
26,METAPAN,207,0207,59004,208,402,685,18061,NA,615,69,38964,208,402,0,615,19356,39648,59004,1.3,98.7,3.65,0.18
27,SAN ANTONIO PAJONAL,208,0208,3279,NA,25,42,1231,1,12,0,1968,0,25,1,12,1298,1981,3279,1.3,98.7,3.3,0
36,SAN SEBASTIAN SALITRILLO,209,0209,18566,NA,422,237,16822,NA,25,10,1050,0,422,0,25,17481,1085,18566,1.36,98.64,1.39,0.94
33,SANTA ANA,210,0210,245421,4540,5426,9566,184808,8,1147,159,39767,4540,5426,8,1147,204340,41081,245421,4.15,95.85,4.92,0.4
29,SANTA ROSA GUACHIPILIN,211,0211,4930,NA,1,3,427,NA,24,11,4464,0,1,0,24,431,4499,4930,0.29,99.71,0.7,0.25
28,SANTIAGO DE LA FRONTERA,212,0212,5196,NA,38,0,1398,NA,30,0,3730,0,38,0,30,1436,3760,5196,0,100,0,0
31,TEXISTEPEQUE,213,0213,17923,NA,84,76,2952,415,241,29,14126,0,84,415,241,3112,14811,17923,0.61,99.39,2.51,0.2
196,ACAJUTLA,301,0301,52359,47,721,372,24097,NA,524,40,26558,47,721,0,524,25237,27122,52359,0.81,99.19,1.52,0.15
202,ARMENIA,302,0302,34912,7,1012,256,22719,32,211,9,10666,7,1012,32,211,23994,10918,34912,0.79,99.21,1.11,0.08
198,CALUCO,303,0303,9139,NA,10,2,1597,NA,42,0,7488,0,10,0,42,1609,7530,9139,0.02,99.98,0.13,0
195,CUISNAHUAT,304,0304,12676,2,4,4,2991,2,30,0,9643,2,4,2,30,3001,9675,12676,0.03,99.97,0.13,0
194,SANTA ISABEL ISHUATAN,305,0305,10241,NA,9,0,804,NA,79,14,9335,0,9,0,79,813,9428,10241,0.14,99.86,0,0.15
203,IZALCO,306,0306,70959,109,766,517,38394,192,433,57,30491,109,766,192,433,39786,31173,70959,0.83,99.17,1.33,0.19
207,JUAYUA,307,0307,24465,23,277,361,13137,NA,252,21,10394,23,277,0,252,13798,10667,24465,1.6,98.4,2.67,0.2
206,NAHUIZALCO,308,0308,49081,3,823,168,32595,NA,365,24,15103,3,823,0,365,33589,15492,49081,0.4,99.6,0.51,0.16
197,NAHULINGO,309,0309,10417,NA,154,73,7135,NA,27,0,3028,0,154,0,27,7362,3055,10417,0.71,99.29,1.01,0
205,SALCOATITAN,310,0310,5484,NA,12,43,1965,NA,28,0,3436,0,12,0,28,2020,3464,5484,0.79,99.21,2.14,0
199,SAN ANTONIO DEL MONTE,311,0311,26902,29,580,272,19101,NA,115,0,6805,29,580,0,115,19982,6920,26902,1.04,98.96,1.4,0
