fid,NOM_MUN,COD_MUN4,POB_TOTAL,urbano_si,urbano_no,rural_si,rural_no,total_si,total_no,total_contestaron
243,ZARAGOZA,0522,22525,2485,15392,165,4308,1964,49253,51217
226,AGUILARES,0601,21267,1476,16926,109,1923,470,9780,10250
223,APOPA,0602,131286,13381,112348,0,0,104,8989,9093
219,AYUTUXTEPEQUE,0603,34710,7937,24230,0,0,1610,24668,26278
215,CUSCATANCINGO,0604,66400,8464,55431,0,0,7486,62294,69780
227,EL PAISNAL,0605,14551,279,6291,168,7561,545,17925,18470
225,GUAZAPA,0606,22906,1109,13055,188,8405,1524,32206,33730
214,ILOPANGO,0607,103862,18357,83698,0,0,2898,66668,69566
218,MEJICANOS,0608,140751,42862,93170,0,0,99,9768,9867
224,NEJAPA,0609,29458,1496,14697,110,12635,204,5227,5431
210,PANCHIMALCO,0610,41260,1581,13701,360,23981,944,47098,48042
209,ROSARIO DE MORA,0611,11377,268,4700,67,6204,1545,22477,24022
211,SAN MARCOS,0612,63209,12794,47234,0,0,3242,21455,24697
221,SAN MARTIN,0613,72758,6181,57535,166,6279,335,10904,11239
217,SAN SALVADOR,0614,316090,114416,191245,0,0,1941,37682,39623
213,SANTIAGO TEXACUANGOS,0615,19428,1218,10863,316,6568,12794,47234,60028
212,SANTO TOMAS,0616,25344,2090,16235,157,6299,2247,22534,24781
216,SOYAPANGO,0617,241403,50892,185042,0,0,1534,17431,18965
222,TONACATEPEQUE,0618,90896,7133,69400,379,12103,18357,83698,102055
220,DELGADO,0619,120200,14589,93140,219,7381,8464,55431,63895
79,CANDELARIA,0701,10090,94,3458,71,6392,50892,185042,235934
76,COJUTEPEQUE,0702,50315,5051,34308,55,9093,114416,191245,305661
77,EL CARMEN,0703,13345,87,1966,74,11110,42862,93170,136032
74,EL ROSARIO,0704,4220,11,405,17,3762,7937,24230,32167
73,MONTE SAN JUAN,0705,10224,73,1514,99,8460,14808,100521,115329
