fid,NOM_MUN,COD_MUN4,POB_TOTAL,urbano_si,urbano_no,rural_si,rural_no,total_si,total_no,total_contestaron
212,SANTO TOMAS,0616,25344,384,17918,26,6432,410,24350,24760
216,SOYAPANGO,0617,241403,10075,225213,0,0,10075,225213,235288
222,TONACATEPEQUE,0618,90896,957,75350,32,12452,989,87802,88791
220,DELGADO,0619,120200,2578,104679,11,7577,2589,112256,114845
79,CANDELARIA,0701,10090,11,3538,7,6434,18,9972,9990
76,COJUTEPEQUE,0702,50315,1138,38135,0,9144,1138,47279,48417
77,EL CARMEN,0703,13345,0,2052,5,11147,5,13199,13204
74,EL ROSARIO,0704,4220,0,420,0,3764,0,4184,4184
73,MONTE SAN JUAN,0705,10224,13,1574,0,8563,13,10137,10150
69,ORATORIO DE CONCEPCION,0706,3578,7,850,0,2693,7,3543,3550
70,SAN BARTOLOME PERULAPIA,0707,8058,46,4564,6,3244,52,7808,7860
78,SAN CRISTOBAL,0708,8316,9,856,10,7345,19,8201,8220
68,SAN JOSE GUAYABAL,0709,9300,44,2813,11,6374,55,9187,9242
71,SAN PEDRO PERULAPAN,0710,44730,71,14356,41,28665,112,43021,43133
75,SAN RAFAEL CEDROS,0711,17069,90,5021,47,11492,137,16513,16650
80,SAN RAMON,0712,6292,9,1245,14,4987,23,6232,6255
81,SANTA CRUZ ANALQUITO,0713,2585,13,1788,0,778,13,2566,2579
72,SANTA CRUZ MICHAPA,0714,11790,26,6551,0,5098,26,11649,11675
66,SUCHITOTO,0715,24786,61,7523,3,17082,64,24605,24669
67,TENANCINGO,0716,6782,0,914,0,5656,0,6570,6570
88,CUYULTITAN,0801,5590,49,3308,12,2185,61,5493,5554
85,EL ROSARIO,0802,16784,96,9077,1,7138,97,16215,16312
102,JERUSALEN,0803,2570,0,445,0,2104,0,2549,2549
103,MERCEDES LA CEIBA,0804,637,0,478,0,152,0,630,630
83,OLOCUILTA,0805,29529,195,15047,16,13235,211,28282,28493
99,PARAISO DE OSORIO,0806,2727,0,1744,0,976,0,2720,2720
86,SAN ANTONIO MASAHUAT,0807,4258,0,1093,0,3124,0,4217,4217
100,SAN EMIGDIO,0808,2818,0,1359,1,1421,1,2780,2781
89,SAN FRANCISCO CHINAMECA,0809,7387,7,2622,0,4643,7,7265,7272
93,SAN JUAN NONUALCO,0810,17256,96,7414,2,9574,98,16988,17086
84,SAN JUAN TALPA,0811,7707,39,4457,0,3135,39,7592,7631
90,SAN JUAN TEPEZONTES,0812,3630,6,1285,0,2297,6,3582,3588
82,SAN LUIS TALPA,0813,21675,66,12806,5,8356,71,21162,21233
101,SAN MIGUEL TEPEZONTES,0814,5084,20,2525,0,2493,20,5018,5038
92,SAN PEDRO MASAHUAT,0815,25446,45,12686,25,12010,70,24696,24766
97,SAN PEDRO NONUALCO,0816,9252,51,3015,0,6062,51,9077,9128
95,SAN RAFAEL OBRAJUELO,0817,9820,108,4907,5,4657,113,9564,9677
98,SANTA MARIA OSTUMA,0818,5990,6,1540,6,4399,12,5939,5951
91,SANTIAGO NONUALCO,0819,39887,116,11726,23,27453,139,39179,39318
87,TAPALHUACA,0820,3809,9,721,4,3050,13,3771,3784
94,ZACATECOLUCA,0821,65826,673,40237,11,23289,684,63526,64210
96,SAN LUIS LA HERRADURA,0822,20405,30,8567,4,11417,34,19984,20018
108,CINQUERA,0901,1467,0,451,0,1002,0,1453,1453
111,GUACOTECTI,0902,5550,38,2296,0,3068,38,5364,5402
104,ILOBASCO,0903,61510,475,22447,15,36387,490,58834,59324
106,JUTIAPA,0904,6584,0,626,0,5857,0,6483,6483
105,SAN ISIDRO,0905,7796,30,1497,23,6081,53,7578,7631
109,SENSUNTEPEQUE,0906,40332,380,14329,25,24401,405,38730,39135
107,TEJUTEPEQUE,0907,7114,30,2693,0,4298,30,6991,7021
110,VICTORIA,0908,12626,19,1268,5,11207,24,12475,12499
158,DOLORES,0909,6347,0,1404,0,4861,0,6265,6265
39,APASTEPEQUE,1001,18342,45,4675,30,13328,75,18003,18078
46,GUADALUPE,1002,5486,23,3634,3,1741,26,5375,5401
45,SAN CAYETANO ISTEPEQUE,1003,5103,5,1594,35,3392,40,4986,5026
112,SANTA CLARA,1004,5349,0,907,0,4250,0,5157,5157
42,SANTO DOMINGO,1005,6445,56,2000,15,4174,71,6174,6245
113,SAN ESTEBAN CATARINA,1006,5661,29,2481,4,3102,33,5583,5616
48,SAN ILDEFONSO,1007,7799,13,2108,10,5468,23,7576,7599
43,SAN LORENZO,1008,6055,16,1964,0,3953,16,5917,5933
40,SAN SEBASTIAN,1009,14411,176,6275,4,7808,180,14083,14263
114,SAN VICENTE,1010,53213,1198,32469,39,16061,1237,48530,49767
47,TECOLUCA,1011,23893,61,10263,13,13131,74,23394,23468
44,TEPETITAN,1012,3631,30,1801,0,1765,30,3566,3596
41,VERAPAZ,1013,6257,28,2408,0,3755,28,6163,6191
57,ALEGRIA,1101,11712,25,1502,25,9978,50,11480,11530
51,BERLIN,1102,17787,206,9403,0,7899,206,17302,17508
147,CALIFORNIA,1103,2628,0,1642,5,951,5,2593,2598
152,CONCEPCION BATRES,1104,12197,53,3126,11,8844,64,11970,12034
53,EL TRIUNFO,1105,6924,43,3001,25,3795,68,6796,6864
150,EREGUAYQUIN,1106,6119,21,1899,9,4134,30,6033,6063
49,ESTANZUELAS,1107,9015,17,3774,0,5061,17,8835,8852
143,JIQUILISCO,1108,47784,283,19716,17,27214,300,46930,47230
56,JUCUAPA,1109,18442,217,9786,0,7860,217,17646,17863
155,JUCUARAN,1110,13424,10,1130,0,12242,10,13372,13382
192,MERCEDES UMANA,1111,13092,42,3017,4,9882,46,12899,12945
52,NUEVA GRANADA,1112,7451,8,1299,7,6108,15,7407,7422
148,OZATLAN,1113,12443,38,5017,7,7304,45,12321,12366
154,PUERTO EL TRIUNFO,1114,16584,144,9426,10,6940,154,16366,16520
50,SAN AGUSTIN,1115,6518,0,3093,3,3363,3,6456,6459
54,SAN BUENA VENTURA,1116,4726,36,879,21,3724,57,4603,4660
153,SAN DIONISIO,1117,4945,10,1271,0,3658,10,4929,4939
144,SANTA ELENA,1118,17342,153,4997,8,12040,161,17037,17198
145,SAN FRANCISCO JAVIER,1119,5409,12,986,0,4370,12,5356,5368
149,SANTA MARIA,1120,10731,96,7919,2,2413,98,10332,10430
55,SANTIAGO DE MARIA,1121,18201,316,13592,12,3784,328,17376,17704
146,TECAPAN,1122,7697,15,3455,6,4131,21,7586,7607
151,USULUTAN,1123,73064,1406,47882,47,21154,1453,69036,70489
161,CAROLINA,1201,8240,4,1189,4,6854,8,8043,8051
163,CIUDAD BARRIOS,1202,24817,123,6699,10,15764,133,22463,22596
176,COMACARAN,1203,3199,3,433,8,2686,11,3119,3130
164,CHAPELTIQUE,1204,10728,79,2267,56,8064,135,10331,10466
168,CHINAMECA,1205,22311,184,5895,33,15402,217,21297,21514
174,CHIRILAGUA,1206,19984,43,2995,30,16382,73,19377,19450
173,EL TRANSITO,1207,18363,155,7380,17,10624,172,18004,18176
165,LOLOTIQUE,1208,14916,15,4309,222,10106,237,14415,14652
166,MONCAGUA,1209,22659,81,6314,21,15918,102,22232,22334
167,NUEVA GUADALUPE,1210,8905,98,4905,11,3810,109,8715,8824
157,NUEVO EDEN DE SAN JUAN,1211,4034,0,568,4,3401,4,3969,3973
170,QUELEPA,1212,4049,14,2328,21,1604,35,3932,3967
162,SAN ANTONIO,1213,5304,0,419,0,4826,0,5245,5245
159,SAN GERARDO,1214,5986,33,921,4,4979,37,5900,5937
169,SAN JORGE,1215,9115,12,2480,18,6359,30,8839,8869
160,SAN LUIS DE LA REINA,1216,5637,0,1066,0,4512,0,5578,5578
171,SAN MIGUEL,1217,218410,9308,143272,96,57957,9404,201229,210633
172,SAN RAFAEL ORIENTE,1218,13290,83,5393,8,7597,91,12990,13081
156,SESORI,1219,10705,10,1002,8,9278,18,10280,10298
