,DMC,MUNICIPIO.4.DIGITOS,COD_MUN4,AREA,NA,NR,SI,NO
159,JAYAQUE,507,0507,URBANO,NA,359,4122,2413
160,JAYAQUE,507,0507,RURAL,NA,314,2273,1577
161,JICALAPA,508,0508,URBANO,NA,NA,55,365
162,JICALAPA,508,0508,RURAL,NA,50,2575,2071
163,LA LIBERTAD,509,0509,URBANO,20,528,16198,6357
164,LA LIBERTAD,509,0509,RURAL,41,141,8088,4624
165,NUEVO CUSCATLAN,510,0510,URBANO,NA,27,3125,923
166,NUEVO CUSCATLAN,510,0510,RURAL,NA,36,2072,714
167,SANTA TECLA,511,0511,URBANO,752,4114,87034,16940
168,SANTA TECLA,511,0511,RURAL,7,692,7867,4502
169,QUEZALTEPEQUE,512,0512,URBANO,129,1334,24240,10459
170,QUEZALTEPEQUE,512,0512,RURAL,NA,643,10117,5721
171,SACACOYO,513,0513,URBANO,NA,278,6409,3185
172,SACACOYO,513,0513,RURAL,NA,25,1508,894
173,SAN JOSE VILLANUEVA,514,0514,URBANO,4,178,7837,2718
174,SAN JOSE VILLANUEVA,514,0514,RURAL,NA,62,1897,880
175,SAN JUAN OPICO,515,0515,URBANO,10,1727,32049,11200
176,SAN JUAN OPICO,515,0515,RURAL,132,743,18923,9496
177,SAN MATIAS,516,0516,URBANO,NA,10,719,438
178,SAN MATIAS,516,0516,RURAL,NA,126,3868,2153
179,SAN PABLO TACACHICO,517,0517,URBANO,NA,261,3442,1916
180,SAN PABLO TACACHICO,517,0517,RURAL,11,642,8864,5230
181,TAMANIQUE,518,0518,URBANO,107,38,2439,1373
182,TAMANIQUE,518,0518,RURAL,NA,124,5616,3847
183,TALNIQUE,519,0519,URBANO,2,66,3032,1789
184,TALNIQUE,519,0519,RURAL,NA,80,1696,1589
185,TEOTEPEQUE,520,0520,URBANO,NA,33,565,685
186,TEOTEPEQUE,520,0520,RURAL,NA,158,5594,5285
187,TEPECOYO,521,0521,URBANO,2,97,5318,2876
188,TEPECOYO,521,0521,RURAL,NA,133,3126,2770
189,ZARAGOZA,522,0522,URBANO,7,187,13974,3867
190,ZARAGOZA,522,0522,RURAL,NA,23,3102,1365
191,AGUILARES,601,0601,URBANO,25,647,13525,4937
192,AGUILARES,601,0601,RURAL,NA,102,1510,521
193,APOPA,602,0602,URBANO,26,5389,87758,38113
194,AYUTUXTEPEQUE,603,0603,URBANO,2020,517,24435,7738
195,CUSCATANCINGO,604,0604,URBANO,2,2350,45838,18210
196,EL PAISNAL,605,0605,URBANO,1,158,4486,2078
197,EL PAISNAL,605,0605,RURAL,NA,107,5438,2283
198,GUAZAPA,606,0606,URBANO,NA,86,8879,5262
199,GUAZAPA,606,0606,RURAL,NA,102,5716,2861
200,ILOPANGO,607,0607,URBANO,23,1825,73848,28166
201,MEJICANOS,608,0608,URBANO,29,4614,104367,31741
202,NEJAPA,609,0609,URBANO,26,309,11857,4338
203,NEJAPA,609,0609,RURAL,NA,140,8418,4370
204,PANCHIMALCO,610,0610,URBANO,110,727,9109,6218
205,PANCHIMALCO,610,0610,RURAL,NA,818,8248,16030
206,ROSARIO DE MORA,611,0611,URBANO,NA,110,2808,2135
207,ROSARIO DE MORA,611,0611,RURAL,NA,40,3357,2927
208,SAN MARCOS,612,0612,URBANO,183,2980,44205,15841
209,SAN MARTIN,613,0613,URBANO,118,2107,44862,18917
210,SAN MARTIN,613,0613,RURAL,NA,333,3591,2830
211,SAN SALVADOR,614,0614,URBANO,1088,8768,241831,64403
212,SANTIAGO TEXACUANGOS,615,0615,URBANO,74,212,7644,4452
213,SANTIAGO TEXACUANGOS,615,0615,RURAL,NA,117,4189,2740
214,SANTO TOMAS,616,0616,URBANO,10,431,12689,5622
215,SANTO TOMAS,616,0616,RURAL,NA,96,3885,2611
216,SOYAPANGO,617,0617,URBANO,74,5443,169465,66421
217,TONACATEPEQUE,618,0618,URBANO,165,1504,54340,22149
218,TONACATEPEQUE,618,0618,RURAL,NA,235,7046,5457
219,CIUDAD DELGADO,619,0619,URBANO,146,4441,72800,34774
220,CIUDAD DELGADO,619,0619,RURAL,NA,502,4038,3499
221,CANDELARIA,701,0701,URBANO,NA,36,1543,2019
222,CANDELARIA,701,0701,RURAL,7,16,3087,3382
223,COJUTEPEQUE,702,0702,URBANO,683,1007,25711,13671
224,COJUTEPEQUE,702,0702,RURAL,NA,140,4430,4673
225,EL ROSARIO,704,0704,URBANO,NA,5,213,207
226,EL ROSARIO,704,0704,RURAL,NA,44,1902,1849
227,EL CARMEN,703,0703,URBANO,NA,30,1192,853
228,EL CARMEN,703,0703,RURAL,NA,85,4378,6807
229,MONTE SAN JUAN,705,0705,URBANO,NA,29,971,606
230,MONTE SAN JUAN,705,0705,RURAL,NA,76,3475,5067
231,ORATORIO DE CONCEPCION,706,0706,URBANO,NA,7,371,481
232,ORATORIO DE CONCEPCION,706,0706,RURAL,NA,11,1434,1274
233,SAN BARTOLOME PERULAPIA,707,0707,URBANO,NA,71,2963,1648
234,SAN BARTOLOME PERULAPIA,707,0707,RURAL,NA,116,1829,1431
235,SAN CRISTOBAL,708,0708,URBANO,NA,NA,436,429
236,SAN CRISTOBAL,708,0708,RURAL,NA,121,2298,5032
237,SAN JOSE GUAYABAL,709,0709,URBANO,NA,11,1729,1131
238,SAN JOSE GUAYABAL,709,0709,RURAL,NA,31,3431,2967
239,SAN PEDRO PERULAPAN,710,0710,URBANO,NA,563,8401,6024
240,SAN PEDRO PERULAPAN,710,0710,RURAL,NA,1090,12265,16387
241,SAN RAFAEL CEDROS,711,0711,URBANO,NA,242,3453,1661
242,SAN RAFAEL CEDROS,711,0711,RURAL,NA,214,7010,4489
243,SAN RAMON,712,0712,URBANO,NA,7,641,613
244,SAN RAMON,712,0712,RURAL,NA,21,2123,2887
245,SANTA CRUZ ANALQUITO,713,0713,URBANO,NA,13,811,983
246,SANTA CRUZ ANALQUITO,713,0713,RURAL,NA,NA,307,471
247,SANTA CRUZ MICHAPA,714,0714,URBANO,NA,60,4113,2486
248,SANTA CRUZ MICHAPA,714,0714,RURAL,NA,84,2290,2757
249,SUCHITOTO,715,0715,URBANO,NA,70,4920,2664
250,SUCHITOTO,715,0715,RURAL,NA,86,10150,6896
251,TENANCINGO,716,0716,URBANO,NA,2,434,478
252,TENANCINGO,716,0716,RURAL,NA,121,2669,3078
253,CUYULTITAN,801,0801,URBANO,1,14,2234,1116
254,CUYULTITAN,801,0801,RURAL,17,13,1467,728
255,EL ROSARIO,802,0802,URBANO,2,201,6070,3101
256,EL ROSARIO,802,0802,RURAL,13,135,4159,3103
257,JERUSALEN,803,0803,URBANO,NA,6,284,158
258,JERUSALEN,803,0803,RURAL,NA,12,1155,955
259,MERCEDES LA CEIBA,804,0804,URBANO,NA,4,291,190
260,MERCEDES LA CEIBA,804,0804,RURAL,NA,NA,71,81
261,OLOCUILTA,805,0805,URBANO,8,499,11045,4365
262,OLOCUILTA,805,0805,RURAL,48,371,8342,4851
263,PARAISO DE OSORIO,806,0806,URBANO,NA,3,664,1084
264,PARAISO DE OSORIO,806,0806,RURAL,NA,14,323,639
265,SAN ANTONIO MASAHUAT,807,0807,URBANO,NA,8,519,574
266,SAN ANTONIO MASAHUAT,807,0807,RURAL,NA,11,1392,1754
267,SAN EMIGDIO,808,0808,URBANO,NA,6,713,654
268,SAN EMIGDIO,808,0808,RURAL,NA,25,679,741
269,SAN FRANCISCO CHINAMECA,809,0809,URBANO,NA,60,1131,1468
270,SAN FRANCISCO CHINAMECA,809,0809,RURAL,NA,82,2316,2330
271,SAN JUAN NONUALCO,810,0810,URBANO,9,124,4806,2661
272,SAN JUAN NONUALCO,810,0810,RURAL,NA,84,4607,4965
273,SAN JUAN TALPA,811,0811,URBANO,NA,41,2401,2094
274,SAN JUAN TALPA,811,0811,RURAL,NA,24,1906,1241
275,SAN JUAN TEPEZONTES,812,0812,URBANO,NA,17,691,612
276,SAN JUAN TEPEZONTES,812,0812,RURAL,3,53,1141,1113
277,SAN LUIS TALPA,813,0813,URBANO,NA,321,7670,5227
278,SAN LUIS TALPA,813,0813,RURAL,NA,131,5296,3030
279,SAN MIGUEL TEPEZONTES,814,0814,URBANO,NA,6,1132,1429
280,SAN MIGUEL TEPEZONTES,814,0814,RURAL,1,14,829,1673
281,SAN PEDRO MASAHUAT,815,0815,URBANO,24,331,7448,5313
282,SAN PEDRO MASAHUAT,815,0815,RURAL,NA,155,7029,5146
283,SAN PEDRO NONUALCO,816,0816,URBANO,23,28,1294,1774
284,SAN PEDRO NONUALCO,816,0816,RURAL,1,70,2684,3378
285,SAN RAFAEL OBRAJUELO,817,0817,URBANO,34,61,2934,2083
286,SAN RAFAEL OBRAJUELO,817,0817,RURAL,NA,46,2702,1960
287,SANTA MARIA OSTUMA,818,0818,URBANO,NA,17,710,825
288,SANTA MARIA OSTUMA,818,0818,RURAL,NA,24,1556,2858
289,SANTIAGO NONUALCO,819,0819,URBANO,NA,137,6657,5219
290,SANTIAGO NONUALCO,819,0819,RURAL,NA,413,13976,13485
291,TAPALHUACA,820,0820,URBANO,NA,4,393,338
292,TAPALHUACA,820,0820,RURAL,NA,17,1617,1440
293,ZACATECOLUCA,821,0821,URBANO,369,752,25780,15226
294,ZACATECOLUCA,821,0821,RURAL,55,375,11627,11642
295,SAN LUIS LA HERRADURA,822,0822,URBANO,NA,119,4544,4056
296,SAN LUIS LA HERRADURA,822,0822,RURAL,NA,299,6026,5361
297,CINQUERA,901,0901,URBANO,NA,8,123,323
298,CINQUERA,901,0901,RURAL,NA,7,466,540
299,GUACOTECTI,902,0902,URBANO,15,68,1837,499
300,GUACOTECTI,902,0902,RURAL,NA,70,2278,783
301,ILOBASCO,903,0903,URBANO,374,502,15445,7457
302,ILOBASCO,903,0903,RURAL,NA,1375,22143,14214
303,JUTIAPA,904,0904,URBANO,NA,NA,205,422
304,JUTIAPA,904,0904,RURAL,NA,75,2852,3030
305,SAN ISIDRO,905,0905,URBANO,NA,28,1124,399
306,SAN ISIDRO,905,0905,RURAL,NA,129,4849,1267
307,SENSUNTEPEQUE,906,0906,URBANO,352,240,11283,3520
308,SENSUNTEPEQUE,906,0906,RURAL,NA,667,16826,7444
309,TEJUTEPEQUE,907,0907,URBANO,NA,26,1676,1043
310,TEJUTEPEQUE,907,0907,RURAL,NA,71,2524,1774
311,VICTORIA,908,0908,URBANO,NA,9,862,441
312,VICTORIA,908,0908,RURAL,NA,163,7419,3732
313,DOLORES,909,0909,URBANO,NA,4,956,453
314,DOLORES,909,0909,RURAL,NA,73,3160,1701
315,APASTEPEQUE,1001,1001,URBANO,NA,91,3046,1722
316,APASTEPEQUE,1001,1001,RURAL,NA,81,9240,4162
317,GUADALUPE,1002,1002,URBANO,NA,66,2054,1601
318,GUADALUPE,1002,1002,RURAL,NA,28,1022,715
319,SAN CAYETANO ISTEPEQUE,1003,1003,URBANO,NA,14,1164,432
320,SAN CAYETANO ISTEPEQUE,1003,1003,RURAL,NA,50,2216,1227
321,SANTA CLARA,1004,1004,URBANO,NA,30,428,489
322,SANTA CLARA,1004,1004,RURAL,NA,28,3068,1306
323,SANTO DOMINGO,1005,1005,URBANO,120,44,1197,860
324,SANTO DOMINGO,1005,1005,RURAL,NA,50,2814,1360
325,SAN ESTEBAN CATARINA,1006,1006,URBANO,NA,27,1734,766
326,SAN ESTEBAN CATARINA,1006,1006,RURAL,1,14,1830,1289
327,SAN ILDEFONSO,1007,1007,URBANO,NA,39,1425,718
328,SAN ILDEFONSO,1007,1007,RURAL,NA,116,3592,1909
329,SAN LORENZO,1008,1008,URBANO,NA,72,1241,748
330,SAN LORENZO,1008,1008,RURAL,NA,44,2901,1049
331,SAN SEBASTIAN,1009,1009,URBANO,10,56,3944,2543
332,SAN SEBASTIAN,1009,1009,RURAL,1,80,5138,2639
333,SAN VICENTE,1010,1010,URBANO,1398,1056,23902,10344
334,SAN VICENTE,1010,1010,RURAL,3,433,10389,5688
335,TECOLUCA,1011,1011,URBANO,NA,135,5763,4578
336,TECOLUCA,1011,1011,RURAL,NA,262,6872,6283
337,TEPETITAN,1012,1012,URBANO,NA,20,1277,548
338,TEPETITAN,1012,1012,RURAL,NA,34,1185,567
339,VERAPAZ,1013,1013,URBANO,1,12,1502,940
340,VERAPAZ,1013,1013,RURAL,1,31,2565,1205
341,ALEGRIA,1101,1101,URBANO,NA,19,984,542
342,ALEGRIA,1101,1101,RURAL,NA,142,6679,3346
343,BERLIN,1102,1102,URBANO,13,168,6370,3231
344,BERLIN,1102,1102,RURAL,NA,88,4438,3479
345,CALIFORNIA,1103,1103,URBANO,NA,2,1105,538
346,CALIFORNIA,1103,1103,RURAL,NA,27,541,415
347,CONCEPCION BATRES,1104,1104,URBANO,11,16,2161,1026
348,CONCEPCION BATRES,1104,1104,RURAL,NA,78,6470,2435
349,EL TRIUNFO,1105,1105,URBANO,NA,29,2237,806
350,EL TRIUNFO,1105,1105,RURAL,NA,32,2696,1124
351,EREGUAYQUIN,1106,1106,URBANO,NA,3,1386,531
352,EREGUAYQUIN,1106,1106,RURAL,NA,43,3018,1138
353,ESTANZUELAS,1107,1107,URBANO,NA,74,2616,1183
354,ESTANZUELAS,1107,1107,RURAL,NA,122,3782,1238
355,JIQUILISCO,1108,1108,URBANO,NA,285,13881,6104
356,JIQUILISCO,1108,1108,RURAL,NA,402,15686,11426
357,JUCUAPA,1109,1109,URBANO,308,125,6910,3125
358,JUCUAPA,1109,1109,RURAL,NA,133,4995,2846
359,JUCUARAN,1110,1110,URBANO,NA,NA,814,326
360,JUCUARAN,1110,1110,RURAL,1,126,9013,3144
361,MERCEDES UMA?A,1111,1111,URBANO,3,19,2245,838
362,MERCEDES UMA?A,1111,1111,RURAL,NA,100,7024,2863
363,NUEVA GRANADA,1112,1112,URBANO,NA,1,820,490
364,NUEVA GRANADA,1112,1112,RURAL,NA,46,4218,1876
365,OZATLAN,1113,1113,URBANO,NA,32,3394,1657
366,OZATLAN,1113,1113,RURAL,NA,42,4684,2634
367,PUERTO EL TRIUNFO,1114,1114,URBANO,NA,68,6737,2796
368,PUERTO EL TRIUNFO,1114,1114,RURAL,NA,41,4730,2212
369,SAN AGUSTIN,1115,1115,URBANO,NA,26,1679,1420
370,SAN AGUSTIN,1115,1115,RURAL,NA,30,1725,1638
371,SAN BUENA VENTURA,1116,1116,URBANO,NA,40,540,359
