ID,ID_Alf,Año,Codigo_Departamento,Departamento,Codigo_Municipio_Alf,Codigo_Municipio,Municipio,Territorios_Funcionales,PESS,Tamaño_Municipio,Poblacion,Poblacion_Hombres,Poblacion_Mujeres,Homicidios_PNC,Hom_Multiple,Amenazas,Privacion_Libertad_PNC,Homicidios_Fuego_IML,Homicidios_IML,Homicidios_Mujeres_IML,Lesiones_IML,Lesiones_Mujeres_IML,Lesiones_Hombres,Lesiones_Fuego_IML,Violacion_IML,Vsexual_IML,Violacion_Mujeres_IML,Robo_Hombres_FGR,Robo_Mujeres_FGR,Robo_FGR,Extorsion_FGR,Ingresos_Tasas,Deflactor,Ingresos_Real,ingreso_real_hab,Consumo_KW,Consumo_KW_hab,Pobreza_FISDL,Homicidios_Habitantes,Amenazas_Habitantes,Privacion_Habitantes,Lesiones_Habitantes,Vsexual_Habitantes,Robo_Habitantes,Extorsion_Habitantes
3022008,03022008,2008,3,SONSONATE,0302,302,ARMENIA,6,Pertenece,Grande,37162,,,34,4,5,2,29,35,2,1,1,0,0,16,26,13,11,1,16,0,317728.16,88.3,359828.0407701019,9.682687759399414,12268821.58,330.144287109375,41.9,94.182228,13.454604,5.3818417,2.6909208,69.963943,43.054733,0
3032008,03032008,2008,3,SONSONATE,0303,303,CALUCO,,No Pertenece,Pequeño,9762,,,4,2,4,0,3,4,0,0,0,0,0,3,7,3,0,1,3,0,92615.11,88.3,104886.8742921857,10.74440383911133,2134828.24,218.6875915527344,79,40.975208,40.975208,0,0,71.706619,30.731407,0
3042008,03042008,2008,3,SONSONATE,0304,304,CUISNAHUAT,,No Pertenece,Mediano,13533,,,3,0,0,0,1,3,0,1,1,0,0,3,3,2,0,0,1,0,24478.85,88.3,27722.36693091733,2.048501253128052,1158277.44,85.589111328125,76,22.168034,0,0,7.3893447,22.168034,7.3893447,0
3052008,03052008,2008,3,SONSONATE,0305,305,IZALCO,,Pertenece,Grande,75642,,,25,0,16,3,13,23,2,3,1,2,0,22,37,20,7,3,17,6,172495.7,88.3,195351.8686296716,2.582584619522095,22344577.71,295.3990783691406,60.6,30.406387,21.152269,3.9660506,3.9660506,48.914623,22.474287,7.9321012
3062008,03062008,2008,3,SONSONATE,0306,306,JUAYUA,,Pertenece,Grande,25887,,,11,0,11,2,7,11,1,0,0,0,0,16,21,16,2,1,3,2,207515.89,88.3,235012.3329558324,9.078392028808594,10077861.15,389.302001953125,48.9,42.492371,42.492371,7.7258854,0,81.121796,11.588828,7.7258854
3072008,03072008,2008,3,SONSONATE,0307,307,NAHUIZALCO,,Pertenece,Grande,52416,,,36,0,7,1,25,37,3,1,1,0,0,19,33,19,3,0,4,0,199168.94,88.3,225559.3884484711,4.3032546043396,8329219.57,158.9060516357422,41.9,70.589134,13.354701,1.9078144,1.9078144,62.957874,7.6312575,0
3082008,03082008,2008,3,SONSONATE,0308,308,NAHUILINGO,2,No Pertenece,Mediano,11139,,,17,4,5,0,11,15,2,0,0,0,0,6,12,6,12,3,18,4,50172.09,88.3,56820.03397508494,5.100999355316162,3242288.51,291.0753784179688,53,134.662,44.887333,0,0,107.7296,161.59439,35.909866
3092008,03092008,2008,3,SONSONATE,0309,309,SALCOATITAN,,No Pertenece,Pequeño,5860,,,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,1,2,32921.75,88.3,37283.97508493772,6.362452983856201,1140900.82,194.6929779052734,36.4,0,0,0,0,85.324234,17.064846,34.129692
3102008,03102008,2008,3,SONSONATE,0310,310,SAN ANTONIO DEL MONTE,2,No Pertenece,Grande,29300,,,10,2,7,1,8,11,1,0,0,0,0,10,12,10,1,0,1,1,205114,88.3,232292.1857304643,7.928061008453369,7492623.859999999,255.720947265625,56.4,37.542664,23.890785,3.4129694,0,40.955631,3.4129694,3.4129694
3112008,03112008,2008,3,SONSONATE,0311,311,SAN JULIAN,,No Pertenece,Mediano,19820,,,3,0,1,0,3,3,1,0,0,0,0,12,14,11,1,1,2,0,73013.60000000001,88.3,82688.10872027182,4.171953201293945,5415000.99,273.2089233398438,33.3,15.136226,5.0454087,0,0,70.635719,10.090817,0
