,DMC,MUNICIPIO.4.DIGITOS,COD_MUN4,AREA,NA,NR,SI,NO
132,SAN ISIDRO LABRADOR,426,0426,URBANO,NA,20,4,1110
133,SAN ISIDRO LABRADOR,426,0426,RURAL,NA,20,6,1432
134,CANCASQUE,427,0427,URBANO,NA,NA,NA,668
135,CANCASQUE,427,0427,RURAL,NA,20,NA,1063
136,LAS FLORES,428,0428,URBANO,NA,8,NA,577
137,LAS FLORES,428,0428,RURAL,NA,12,NA,986
138,SAN LUIS DEL CARMEN,429,0429,URBANO,NA,1,NA,274
139,SAN LUIS DEL CARMEN,429,0429,RURAL,NA,3,2,893
140,SAN MIGUEL DE MERCEDES,430,0430,URBANO,NA,24,10,993
141,SAN MIGUEL DE MERCEDES,430,0430,RURAL,NA,13,6,1441
142,SAN RAFAEL,431,0431,URBANO,NA,9,16,1641
143,SAN RAFAEL,431,0431,RURAL,NA,4,3,2591
144,SANTA RITA,432,0432,URBANO,1,16,NA,383
145,SANTA RITA,432,0432,RURAL,NA,31,19,5535
146,TEJUTLA,433,0433,URBANO,NA,170,29,5230
147,TEJUTLA,433,0433,RURAL,NA,233,38,7908
148,ANTIGUO CUSCATLAN,501,0501,URBANO,138,765,15385,17410
149,CIUDAD ARCE,502,0502,URBANO,NA,1365,392,39726
150,CIUDAD ARCE,502,0502,RURAL,NA,976,57,17798
151,COLON,503,0503,URBANO,66,2830,1659,86657
152,COLON,503,0503,RURAL,NA,103,44,5630
153,COMASAGUA,504,0504,URBANO,NA,99,14,2759
154,COMASAGUA,504,0504,RURAL,NA,120,NA,8878
155,CHILTIUPAN,505,0505,URBANO,5,NA,2,770
156,CHILTIUPAN,505,0505,RURAL,NA,90,31,9999
157,HUIZUCAR,506,0506,URBANO,5,732,49,4055
158,HUIZUCAR,506,0506,RURAL,NA,328,10,9286
159,JAYAQUE,507,0507,URBANO,NA,399,56,6439
160,JAYAQUE,507,0507,RURAL,NA,298,10,3856
161,JICALAPA,508,0508,URBANO,NA,NA,NA,420
162,JICALAPA,508,0508,RURAL,NA,24,6,4666
163,LA LIBERTAD,509,0509,URBANO,20,480,210,22393
164,LA LIBERTAD,509,0509,RURAL,41,131,64,12658
165,NUEVO CUSCATLAN,510,0510,URBANO,NA,31,77,3967
166,NUEVO CUSCATLAN,510,0510,RURAL,NA,29,345,2448
167,SANTA TECLA,511,0511,URBANO,752,4809,29512,73767
168,SANTA TECLA,511,0511,RURAL,7,1028,984,11049
169,QUEZALTEPEQUE,512,0512,URBANO,129,1353,964,33716
170,QUEZALTEPEQUE,512,0512,RURAL,NA,586,24,15871
171,SACACOYO,513,0513,URBANO,NA,267,61,9544
172,SACACOYO,513,0513,RURAL,NA,25,1,2401
173,SAN JOSE VILLANUEVA,514,0514,URBANO,4,205,253,10275
174,SAN JOSE VILLANUEVA,514,0514,RURAL,NA,69,162,2608
175,SAN JUAN OPICO,515,0515,URBANO,10,2134,1235,41607
176,SAN JUAN OPICO,515,0515,RURAL,132,1035,309,27818
177,SAN MATIAS,516,0516,URBANO,NA,7,24,1136
178,SAN MATIAS,516,0516,RURAL,NA,99,20,6028
179,SAN PABLO TACACHICO,517,0517,URBANO,NA,372,71,5176
180,SAN PABLO TACACHICO,517,0517,RURAL,11,589,62,14085
181,TAMANIQUE,518,0518,URBANO,107,31,22,3797
182,TAMANIQUE,518,0518,RURAL,NA,99,10,9478
183,TALNIQUE,519,0519,URBANO,2,85,15,4787
184,TALNIQUE,519,0519,RURAL,NA,66,18,3281
185,TEOTEPEQUE,520,0520,URBANO,NA,16,7,1260
186,TEOTEPEQUE,520,0520,RURAL,NA,119,13,10905
187,TEPECOYO,521,0521,URBANO,2,90,73,8128
188,TEPECOYO,521,0521,RURAL,NA,101,4,5924
189,ZARAGOZA,522,0522,URBANO,7,200,844,16984
190,ZARAGOZA,522,0522,RURAL,NA,29,86,4375
191,AGUILARES,601,0601,URBANO,25,827,298,17984
192,AGUILARES,601,0601,RURAL,NA,157,27,1949
193,APOPA,602,0602,URBANO,26,6061,1933,123266
194,AYUTUXTEPEQUE,603,0603,URBANO,2020,606,2180,29904
195,CUSCATANCINGO,604,0604,URBANO,2,2940,1482,61976
196,EL PAISNAL,605,0605,URBANO,1,176,34,6512
197,EL PAISNAL,605,0605,RURAL,NA,115,7,7706
198,GUAZAPA,606,0606,URBANO,NA,65,203,13959
199,GUAZAPA,606,0606,RURAL,NA,90,34,8555
200,ILOPANGO,607,0607,URBANO,23,2349,3819,97671
201,MEJICANOS,608,0608,URBANO,29,5087,14873,120762
202,NEJAPA,609,0609,URBANO,26,376,296,15832
203,NEJAPA,609,0609,RURAL,NA,232,11,12685
204,PANCHIMALCO,610,0610,URBANO,110,793,347,14914
205,PANCHIMALCO,610,0610,RURAL,NA,985,94,24017
206,ROSARIO DE MORA,611,0611,URBANO,NA,94,72,4887
207,ROSARIO DE MORA,611,0611,RURAL,NA,40,9,6275
208,SAN MARCOS,612,0612,URBANO,183,3212,3418,56396
209,SAN MARTIN,613,0613,URBANO,118,2385,795,62706
210,SAN MARTIN,613,0613,RURAL,NA,527,45,6182
211,SAN SALVADOR,614,0614,URBANO,1088,10604,60203,244195
212,SANTIAGO TEXACUANGOS,615,0615,URBANO,74,249,165,11894
213,SANTIAGO TEXACUANGOS,615,0615,RURAL,NA,176,58,6812
214,SANTO TOMAS,616,0616,URBANO,10,440,384,17918
215,SANTO TOMAS,616,0616,RURAL,NA,134,26,6432
216,SOYAPANGO,617,0617,URBANO,74,6041,10075,225213
217,TONACATEPEQUE,618,0618,URBANO,165,1686,957,75350
218,TONACATEPEQUE,618,0618,RURAL,NA,254,32,12452
219,CIUDAD DELGADO,619,0619,URBANO,146,4758,2578,104679
220,CIUDAD DELGADO,619,0619,RURAL,NA,451,11,7577
221,CANDELARIA,701,0701,URBANO,NA,49,11,3538
222,CANDELARIA,701,0701,RURAL,7,44,7,6434
223,COJUTEPEQUE,702,0702,URBANO,683,1116,1138,38135
224,COJUTEPEQUE,702,0702,RURAL,NA,99,NA,9144
225,EL ROSARIO,704,0704,URBANO,NA,5,NA,420
226,EL ROSARIO,704,0704,RURAL,NA,31,NA,3764
227,EL CARMEN,703,0703,URBANO,NA,23,NA,2052
228,EL CARMEN,703,0703,RURAL,NA,118,5,11147
229,MONTE SAN JUAN,705,0705,URBANO,NA,19,13,1574
230,MONTE SAN JUAN,705,0705,RURAL,NA,55,NA,8563
231,ORATORIO DE CONCEPCION,706,0706,URBANO,NA,2,7,850
232,ORATORIO DE CONCEPCION,706,0706,RURAL,NA,26,NA,2693
233,SAN BARTOLOME PERULAPIA,707,0707,URBANO,NA,72,46,4564
234,SAN BARTOLOME PERULAPIA,707,0707,RURAL,NA,126,6,3244
235,SAN CRISTOBAL,708,0708,URBANO,NA,NA,9,856
236,SAN CRISTOBAL,708,0708,RURAL,NA,96,10,7345
237,SAN JOSE GUAYABAL,709,0709,URBANO,NA,14,44,2813
238,SAN JOSE GUAYABAL,709,0709,RURAL,NA,44,11,6374
239,SAN PEDRO PERULAPAN,710,0710,URBANO,NA,561,71,14356
240,SAN PEDRO PERULAPAN,710,0710,RURAL,NA,1036,41,28665
241,SAN RAFAEL CEDROS,711,0711,URBANO,NA,245,90,5021
242,SAN RAFAEL CEDROS,711,0711,RURAL,NA,174,47,11492
243,SAN RAMON,712,0712,URBANO,NA,7,9,1245
244,SAN RAMON,712,0712,RURAL,NA,30,14,4987
245,SANTA CRUZ ANALQUITO,713,0713,URBANO,NA,6,13,1788
246,SANTA CRUZ ANALQUITO,713,0713,RURAL,NA,NA,NA,778
247,SANTA CRUZ MICHAPA,714,0714,URBANO,NA,82,26,6551
248,SANTA CRUZ MICHAPA,714,0714,RURAL,NA,33,NA,5098
249,SUCHITOTO,715,0715,URBANO,NA,70,61,7523
250,SUCHITOTO,715,0715,RURAL,NA,47,3,17082
251,TENANCINGO,716,0716,URBANO,NA,NA,NA,914
252,TENANCINGO,716,0716,RURAL,NA,212,NA,5656
253,CUYULTITAN,801,0801,URBANO,1,7,49,3308
254,CUYULTITAN,801,0801,RURAL,17,11,12,2185
